"numcas"                                             ;"nomsa"                                 ;"classref"                                                           ;"classdate" ;"classcatdanger"                                                                                            ;"classcodeh" ;"classmentiondanger"                                                                                       ;"facteurmvaleur" ;"facteurmorigine" ;"facteurmdate"
"658066-35-4"                                        ;"fluopyram"                              ;"Reglement (UE) Ne2016/1179 (9e ATP au Reglement 1272/2008)"                     ;19/07/16          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;"UE"                ;19/07/16
"2699-79-8"                                          ;"fluorure de sulfuryle"                  ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"2699-79-8"                                          ;"fluorure de sulfuryle"                  ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite aigue (par inhalation), categorie 3"                                                                           ;"H331"              ;"Toxique par inhalation"                                                                                          ;                   ;""                  ;
"2699-79-8"                                          ;"fluorure de sulfuryle"                  ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"361377-29-9"                                        ;"fluoxastrobine"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;18/06/13
"361377-29-9"                                        ;"fluoxastrobine"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;100                ;"ANSES"             ;18/06/13
"361377-29-9"                                        ;"fluoxastrobine"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"136426-54-5"                                        ;"fluquinconazole"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par inhalation), categorie 3"                                                                           ;"H331"              ;"Toxique par inhalation"                                                                                          ;                   ;""                  ;
"136426-54-5"                                        ;"fluquinconazole"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"136426-54-5"                                        ;"fluquinconazole"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"136426-54-5"                                        ;"fluquinconazole"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"136426-54-5"                                        ;"fluquinconazole"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie cutanee), categorie 4"                                                                         ;"H312"              ;"Nocif par contact cutane"                                                                                        ;                   ;""                  ;
"136426-54-5"                                        ;"fluquinconazole"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"136426-54-5"                                        ;"fluquinconazole"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 1"                                     ;"H372"              ;"Risque avere d'effet graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee"    ;                   ;""                  ;
"61213-25-0"                                         ;"flurochloridone"                        ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;100                ;""                  ;
"61213-25-0"                                         ;"flurochloridone"                        ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"61213-25-0"                                         ;"flurochloridone"                        ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"61213-25-0"                                         ;"flurochloridone"                        ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Toxicite pour la reproduction, categorie 1B(FD)"                                                                        ;"H360FD"            ;"Peut nuire  la fertilite. Peut nuire au foetus"                                                                 ;                   ;""                  ;
"61213-25-0"                                         ;"flurochloridone"                        ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;""                  ;
"69377-81-7"                                         ;"fluroxypyr"                             ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"81406-37-3"                                         ;"fluroxypyr : methylheptyl ester"        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;18/02/14
"81406-37-3"                                         ;"fluroxypyr : methylheptyl ester"        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;18/02/14
"66332-96-5"                                         ;"flutolanil"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"76674-21-0"                                         ;"flutriafol"                             ;"Classement adapte par l'ANSES selon les conclusions de l'EFSA"                  ;22/03/16          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"76674-21-0"                                         ;"flutriafol"                             ;"Classement adapte par l'ANSES selon les conclusions de l'EFSA"                  ;22/03/16          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"907204-31-3"                                        ;"fluxapyroxad"                           ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"UE"                ;19/05/20
"907204-31-3"                                        ;"fluxapyroxad"                           ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Effet sur ou via la lactation, categorie Lacta."                                                                        ;"H362"              ;"Peut etre nocif pour les bebes nourris au lait maternel"                                                         ;                   ;""                  ;
"907204-31-3"                                        ;"fluxapyroxad"                           ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"UE"                ;19/05/20
"133-07-3"                                           ;"folpel"                                 ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"133-07-3"                                           ;"folpel"                                 ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;10/08/09
"133-07-3"                                           ;"folpel"                                 ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"133-07-3"                                           ;"folpel"                                 ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"133-07-3"                                           ;"folpel"                                 ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par inhalation), categorie 4"                                                                           ;"H332"              ;"Nocif par inhalation"                                                                                            ;                   ;""                  ;
"173159-57-4"                                        ;"foramsulfuron"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/05/19          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"173159-57-4"                                        ;"foramsulfuron"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/05/19          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1000               ;"ANSES"             ;16/04/13
"173159-57-4"                                        ;"foramsulfuron"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/05/19          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;100                ;"ANSES"             ;16/04/13
"68157-60-8"                                         ;"forchlorfenuron"                        ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"68157-60-8"                                         ;"forchlorfenuron"                        ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"23422-53-9"                                         ;"formetanate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 2"                                                                           ;"H300"              ;"Mortel en cas d'ingestion"                                                                                       ;                   ;""                  ;
"23422-53-9"                                         ;"formetanate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par inhalation), categorie 2"                                                                           ;"H330"              ;"Mortel par inhalation"                                                                                           ;                   ;""                  ;
"23422-53-9"                                         ;"formetanate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"23422-53-9"                                         ;"formetanate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;18/06/15
"23422-53-9"                                         ;"formetanate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"ANSES"             ;18/06/15
"39148-24-8"                                         ;"fosetyl-al"                             ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"98886-44-3"                                         ;"fosthiazate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"98886-44-3"                                         ;"fosthiazate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"98886-44-3"                                         ;"fosthiazate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"98886-44-3"                                         ;"fosthiazate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par inhalation), categorie 3"                                                                           ;"H331"              ;"Toxique par inhalation"                                                                                          ;                   ;""                  ;
"98886-44-3"                                         ;"fosthiazate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie cutanee), categorie 4"                                                                         ;"H312"              ;"Nocif par contact cutane"                                                                                        ;                   ;""                  ;
"98886-44-3"                                         ;"fosthiazate"                            ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"76703-62-3"                                         ;"gamma cyhalothrine"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/05/11          ;"Toxicite aigue (par inhalation), categorie 2"                                                                           ;"H330"              ;"Mortel par inhalation"                                                                                           ;                   ;""                  ;
"76703-62-3"                                         ;"gamma cyhalothrine"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/05/11          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 1"                                     ;"H372"              ;"Risque avere d'effet graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee"    ;                   ;""                  ;
"76703-62-3"                                         ;"gamma cyhalothrine"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/05/11          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"76703-62-3"                                         ;"gamma cyhalothrine"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/05/11          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"76703-62-3"                                         ;"gamma cyhalothrine"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/05/11          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"76703-62-3"                                         ;"gamma cyhalothrine"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/05/11          ;"Toxicite aigue (par voie cutanee), categorie 3"                                                                         ;"H311"              ;"Toxique par contact cutane"                                                                                      ;                   ;""                  ;
"8030-53-3 (melange)"                                ;"gibberelline A4 A7"                     ;"	Classement adapte par leANSES selon les conclusions de leEFSA"                 ;27/10/15          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"1071-83-6"                                          ;"glyphosate"                             ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"1071-83-6"                                          ;"glyphosate"                             ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"943831-98-9"                                        ;"halauxifen-methyl"                      ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/03/16          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1000               ;"ANSES"             ;07/10/14
"943831-98-9"                                        ;"halauxifen-methyl"                      ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/03/16          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;07/10/14
"100784-20-1"                                        ;"halosulfuron-methyl"                    ;"Reglement (UE) Ne2020/217 (14e ATP au Reglement 1272/2008)"                     ;04/10/19          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;27/03/18
"100784-20-1"                                        ;"halosulfuron-methyl"                    ;"Reglement (UE) Ne2020/217 (14e ATP au Reglement 1272/2008)"                     ;04/10/19          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1000               ;"ANSES"             ;27/03/18
"100784-20-1"                                        ;"halosulfuron-methyl"                    ;"Reglement (UE) Ne2020/217 (14e ATP au Reglement 1272/2008)"                     ;04/10/19          ;"Toxicite pour la reproduction, categorie 1B(D)"                                                                         ;"H360D"             ;"Peut nuire au foetus"                                                                                            ;                   ;""                  ;
"72619-32-0"                                         ;"haloxyfop-R : ester methylique"         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"72619-32-0"                                         ;"haloxyfop-R : ester methylique"         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"72619-32-0"                                         ;"haloxyfop-R : ester methylique"         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"72619-32-0"                                         ;"haloxyfop-R : ester methylique"         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"870721-81-6"                                        ;"heptamaloxyloglucan"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;17/03/20          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"78587-05-0"                                         ;"hexythiazox"                            ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"UE"                ;19/05/20
"78587-05-0"                                         ;"hexythiazox"                            ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"UE"                ;19/05/20
"8002-13-9"                                          ;"huile de colza"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;23/06/09          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"8000-34-8"                                          ;"huile de girofle"                       ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;26/05/11          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"8000-34-8"                                          ;"huile de girofle"                       ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;26/05/11          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"8000-34-8"                                          ;"huile de girofle"                       ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;26/05/11          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"8000-34-8"                                          ;"huile de girofle"                       ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;26/05/11          ;"Toxicite aigue (par inhalation), categorie 4"                                                                           ;"H332"              ;"Nocif par inhalation"                                                                                            ;                   ;""                  ;
"8008-79-5"                                          ;"huile de menthe verte"                  ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/09/10          ;"Danger par aspiration, categorie 1"                                                                                     ;"H304"              ;"Peut etre mortel en cas d'ingestion et de penetration dans les voies respiratoires"                              ;                   ;""                  ;
"8008-79-5"                                          ;"huile de menthe verte"                  ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/09/10          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"8008-79-5"                                          ;"huile de menthe verte"                  ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/09/10          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"8008-79-5"                                          ;"huile de menthe verte"                  ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/09/10          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"64742-46-7"                                         ;"huile de paraffine (CAS 64742-46-7)"    ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"72623-86-0"                                         ;"huile de paraffine (CAS 72623-86-0)"    ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"97862-82-3"                                         ;"huile de paraffine (CAS 97862-82-3"     ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;23/06/09          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;23/06/09          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;23/06/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;23/06/09          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;23/06/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"123-33-1"                                           ;"hydrazide maleique"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"298-14-6"                                           ;"hydrogenocarbonate de potassium"        ;"	Classement adapte par leANSES selon les conclusions de leEFSA"                 ;16/12/15          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"148-24-3"                                           ;"hydroxy-8-quinoleine"                   ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite pour la reproduction, categorie 1B(D)"                                                                         ;"H360D"             ;"Peut nuire au foetus"                                                                                            ;                   ;""                  ;
