"numcas"                                         ;"nomsa"                                 ;"natureetude"         ;"DL50/CL50" ;"valeur"         ;"unite" ;"espece"  ;"sexe"
"97862-82-3"                                         ;"huile de paraffine (CAS 97862-82-3"     ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;""        ;""
"97862-82-3"                                         ;"huile de paraffine (CAS 97862-82-3"     ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;""        ;""
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"lapin"   ;""
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Toxicite aigue VO"         ;"DL50"      ;"5600 - 6600"    ;"mg/kg" ;"souris"  ;""
"8028-48-6 (orange oil)"                             ;"huile essentielle d'orange"             ;"Toxicite aigue VO"         ;"DL50"      ;"4400 - 5100"    ;"mg/kg" ;"rat"     ;""
"123-33-1"                                           ;"hydrazide maleique"                     ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"123-33-1"                                           ;"hydrazide maleique"                     ;"Toxicite aigue inhalation" ;"CL50"      ;">3,2"           ;"mg/L"  ;"rat"     ;"MF"
"123-33-1"                                           ;"hydrazide maleique"                     ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"298-14-6"                                           ;"hydrogenocarbonate de potassium"        ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"lapin"   ;"MF"
"298-14-6"                                           ;"hydrogenocarbonate de potassium"        ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,88"         ;"mg/L"  ;"rat"     ;"MF"
"298-14-6"                                           ;"hydrogenocarbonate de potassium"        ;"Toxicite aigue VO"         ;"DL50"      ;"2064"           ;"mg/kg" ;"rat"     ;"F"
"298-14-6"                                           ;"hydrogenocarbonate de potassium"        ;"Toxicite aigue VO"         ;"DL50"      ;"3706"           ;"mg/kg" ;"rat"     ;"M"
"148-24-3"                                           ;"hydroxy-8-quinoleine"                   ;"Toxicite aigue cutanee"    ;"DL50"      ;">10000"         ;"mg/kg" ;"rat"     ;"NS"
"148-24-3"                                           ;"hydroxy-8-quinoleine"                   ;"Toxicite aigue inhalation" ;"CL50"      ;""               ;"mg/L"  ;""        ;""
"148-24-3"                                           ;"hydroxy-8-quinoleine"                   ;"Toxicite aigue VO"         ;"DL50"      ;"800"            ;"mg/kg" ;"rat"     ;"M"
"148-24-3"                                           ;"hydroxy-8-quinoleine"                   ;"Toxicite aigue VO"         ;"DL50"      ;"790"            ;"mg/kg" ;"rat"     ;"F"
"148-24-3"                                           ;"hydroxy-8-quinoleine"                   ;"Toxicite aigue VO"         ;"DL50"      ;"177"            ;"mg/kg" ;"souris"  ;"NS"
"10004-44-1"                                         ;"hymexazol"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"lapin"   ;"MF"
"10004-44-1"                                         ;"hymexazol"                              ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0,65"         ;"mg/L"  ;"rat"     ;"MF"
"10004-44-1"                                         ;"hymexazol"                              ;"Toxicite aigue VO"         ;"DL50"      ;"1700"           ;"mg/kg" ;"rat"     ;"F"
"10004-44-1"                                         ;"hymexazol"                              ;"Toxicite aigue VO"         ;"DL50"      ;"2300"           ;"mg/kg" ;"souris"  ;"F"
"10004-44-1"                                         ;"hymexazol"                              ;"Toxicite aigue VO"         ;"DL50"      ;"1700"           ;"mg/kg" ;"souris"  ;"M"
"10004-44-1"                                         ;"hymexazol"                              ;"Toxicite aigue VO"         ;"DL50"      ;"1600"           ;"mg/kg" ;"rat"     ;"M"
"35554-44-0"                                         ;"imazalil"                               ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"35554-44-0"                                         ;"imazalil"                               ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"lapin"   ;""
"35554-44-0"                                         ;"imazalil"                               ;"Toxicite aigue inhalation" ;"CL50"      ;"1,84"           ;"mg/L"  ;"rat"     ;"F"
"35554-44-0"                                         ;"imazalil"                               ;"Toxicite aigue inhalation" ;"CL50"      ;"2,88"           ;"mg/L"  ;"rat"     ;"M"
"35554-44-0"                                         ;"imazalil"                               ;"Toxicite aigue VO"         ;"DL50"      ;"227"            ;"mg/kg" ;"rat"     ;"F"
"35554-44-0"                                         ;"imazalil"                               ;"Toxicite aigue VO"         ;"DL50"      ;"343"            ;"mg/kg" ;"rat"     ;"M"
"35554-44-0"                                         ;"imazalil"                               ;"Toxicite aigue VO"         ;"DL50"      ;"285"            ;"mg/kg" ;"rat"     ;"MF"
"114311-32-9"                                        ;"imazamox"                               ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 4000"         ;"mg/kg" ;"lapin"   ;"MF"
"114311-32-9"                                        ;"imazamox"                               ;"Toxicite aigue inhalation" ;"CL50"      ;"> 6.3"          ;"mg/L"  ;"rat"     ;"MF"
"114311-32-9"                                        ;"imazamox"                               ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"114311-32-9"                                        ;"imazamox"                               ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"81335-37-7"                                         ;"imazaquine"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"lapin"   ;"MF"
"81335-37-7"                                         ;"imazaquine"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5,7"          ;"mg/L"  ;"rat"     ;""
"81335-37-7"                                         ;"imazaquine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"1790"           ;"mg/kg" ;"souris"  ;"M"
"81335-37-7"                                         ;"imazaquine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"2363"           ;"mg/kg" ;"souris"  ;"F"
"81335-37-7"                                         ;"imazaquine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"1752"           ;"mg/kg" ;"souris"  ;"F"
"81335-37-7"                                         ;"imazaquine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"138261-41-3"                                        ;"imidaclopride"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;""
"138261-41-3"                                        ;"imidaclopride"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0.069"        ;"mg/L"  ;"rat"     ;""
"138261-41-3"                                        ;"imidaclopride"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.3"          ;"mg/L"  ;"rat"     ;""
"138261-41-3"                                        ;"imidaclopride"                          ;"Toxicite aigue VO"         ;"DL50"      ;"131"            ;"mg/kg" ;"souris"  ;"M"
"138261-41-3"                                        ;"imidaclopride"                          ;"Toxicite aigue VO"         ;"DL50"      ;"506"            ;"mg/kg" ;"rat"     ;"F"
"173584-44-6"                                        ;"indoxacarbe"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"173584-44-6"                                        ;"indoxacarbe"                            ;"Toxicite aigue inhalation" ;"CL50"      ;">5.5"           ;"mg/L"  ;"rat"     ;"M"
"173584-44-6"                                        ;"indoxacarbe"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"4.2"            ;"mg/L"  ;"rat"     ;"F"
"173584-44-6"                                        ;"indoxacarbe"                            ;"Toxicite aigue VO"         ;"DL50"      ;"843"            ;"mg/kg" ;"rat"     ;"M"
"173584-44-6"                                        ;"indoxacarbe"                            ;"Toxicite aigue VO"         ;"DL50"      ;"268"            ;"mg/kg" ;"rat"     ;"F"
"173584-44-6"                                        ;"indoxacarbe"                            ;"Toxicite aigue VO"         ;"DL50"      ;"1730"           ;"mg/kg" ;"rat"     ;"M"
"173584-44-6"                                        ;"indoxacarbe"                            ;"Toxicite aigue VO"         ;"DL50"      ;"179"            ;"mg/kg" ;"rat"     ;"F"
"144550-36-7"                                        ;"iodosulfuron"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"144550-36-7"                                        ;"iodosulfuron"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 2,81"         ;"mg/L"  ;"rat"     ;"MF"
"144550-36-7"                                        ;"iodosulfuron"                           ;"Toxicite aigue VO"         ;"DL50"      ;"2947"           ;"mg/kg" ;"rat"     ;"M"
"144550-36-7"                                        ;"iodosulfuron"                           ;"Toxicite aigue VO"         ;"DL50"      ;"2448"           ;"mg/kg" ;"rat"     ;"F"
"125225-28-7"                                        ;"ipconazole"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"125225-28-7"                                        ;"ipconazole"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 1,88"         ;"mg/L"  ;"rat"     ;"MF"
"125225-28-7"                                        ;"ipconazole"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 3,53"         ;"mg/L"  ;"rat"     ;"MF"
"125225-28-7"                                        ;"ipconazole"                             ;"Toxicite aigue VO"         ;"DL50"      ;"537"            ;"mg/kg" ;"souris"  ;"M"
"125225-28-7"                                        ;"ipconazole"                             ;"Toxicite aigue VO"         ;"DL50"      ;"468"            ;"mg/kg" ;"souris"  ;"F"
"125225-28-7"                                        ;"ipconazole"                             ;"Toxicite aigue VO"         ;"DL50"      ;"888"            ;"mg/kg" ;"rat"     ;"F"
"125225-28-7"                                        ;"ipconazole"                             ;"Toxicite aigue VO"         ;"DL50"      ;"1338"           ;"mg/kg" ;"rat"     ;"M"
"140923-17-7"                                        ;"iprovalicarbe"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"140923-17-7"                                        ;"iprovalicarbe"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.0"          ;"mg/L"  ;"rat"     ;"MF"
"140923-17-7"                                        ;"iprovalicarbe"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"140923-17-7"                                        ;"iprovalicarbe"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"875915-78-9"                                        ;"isofetamide"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"875915-78-9"                                        ;"isofetamide"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,8"          ;"mg/L"  ;"rat"     ;"MF"
"875915-78-9"                                        ;"isofetamide"                            ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"F"
"881685-58-1"                                        ;"isopyrazam"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"881685-58-1"                                        ;"isopyrazam"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">5,28"          ;"mg/L"  ;"rat"     ;""
"881685-58-1"                                        ;"isopyrazam"                             ;"Toxicite aigue VO"         ;"DL50"      ;"310"            ;"mg/kg" ;"rat"     ;""
"881685-58-1"                                        ;"isopyrazam"                             ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"881685-58-1"                                        ;"isopyrazam"                             ;"Toxicite aigue VO"         ;"DL50"      ;"2000"           ;"mg/kg" ;"rat"     ;""
"82558-50-7"                                         ;"isoxaben"                               ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"82558-50-7"                                         ;"isoxaben"                               ;"Toxicite aigue inhalation" ;"CL50"      ;"> 2,68"         ;"mg/L"  ;"rat"     ;"MF"
"82558-50-7"                                         ;"isoxaben"                               ;"Toxicite aigue VO"         ;"DL50"      ;">10000"         ;"mg/kg" ;"souris"  ;"MF"
"82558-50-7"                                         ;"isoxaben"                               ;"Toxicite aigue VO"         ;"DL50"      ;">10000"         ;"mg/kg" ;"rat"     ;"MF"
"141112-29-0"                                        ;"isoxaflutole"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"141112-29-0"                                        ;"isoxaflutole"                           ;"Toxicite aigue inhalation" ;"CL50"      ;">5.23"          ;"mg/L"  ;"rat"     ;"MF"
"141112-29-0"                                        ;"isoxaflutole"                           ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"1332-58-7"                                          ;"kaolin"                                 ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"1332-58-7"                                          ;"kaolin"                                 ;"Toxicite aigue inhalation" ;"CL50"      ;"> 2,18"         ;"mg/L"  ;"rat"     ;"MF"
"1332-58-7"                                          ;"kaolin"                                 ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"143390-89-0"                                        ;"kresoxim methyl"                        ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"143390-89-0"                                        ;"kresoxim methyl"                        ;"Toxicite aigue inhalation" ;"CL50"      ;"5,6"            ;"mg/L"  ;"rat"     ;"MF"
"143390-89-0"                                        ;"kresoxim methyl"                        ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"91465-08-6"                                         ;"lambda cyhalothrine"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"632"            ;"mg/kg" ;"rat"     ;"M"
"91465-08-6"                                         ;"lambda cyhalothrine"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"696"            ;"mg/kg" ;"rat"     ;"F"
"91465-08-6"                                         ;"lambda cyhalothrine"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"0.06"           ;"mg/L"  ;"rat"     ;"MF"
"91465-08-6"                                         ;"lambda cyhalothrine"                    ;"Toxicite aigue VO"         ;"DL50"      ;"79"             ;"mg/kg" ;"rat"     ;"M"
"91465-08-6"                                         ;"lambda cyhalothrine"                    ;"Toxicite aigue VO"         ;"DL50"      ;"56"             ;"mg/kg" ;"rat"     ;"F"
"9008-22-4"                                          ;"laminarine"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"9008-22-4"                                          ;"laminarine"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 1,02"         ;"mg/L"  ;"rat"     ;"MF"
"9008-22-4"                                          ;"laminarine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"2164-08-1�"                                         ;"lenacile"                               ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"2164-08-1�"                                         ;"lenacile"                               ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5,12"         ;"mg/L"  ;"rat"     ;"MF"
"2164-08-1�"                                         ;"lenacile"                               ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"8018-01-7 (formerly 8065-67-5)"                     ;"mancozebe"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"8018-01-7 (formerly 8065-67-5)"                     ;"mancozebe"                              ;"Toxicite aigue inhalation" ;"CL50"      ;">5.14"          ;"mg/L"  ;"rat"     ;""
"8018-01-7 (formerly 8065-67-5)"                     ;"mancozebe"                              ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"173662-97-0"                                        ;"mandestrobine"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"173662-97-0"                                        ;"mandestrobine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,96"         ;"mg/L"  ;"rat"     ;"MF"
"173662-97-0"                                        ;"mandestrobine"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"F"
"374726-62-2"                                        ;"mandipropamide"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"374726-62-2"                                        ;"mandipropamide"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;">5050"          ;"mg/kg" ;"rat"     ;"MF"
"374726-62-2"                                        ;"mandipropamide"                         ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.19"         ;"mg/L"  ;"rat"     ;"MF"
"374726-62-2"                                        ;"mandipropamide"                         ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"F"
"94-74-6"                                            ;"MCPA"                                   ;"Toxicite aigue cutanee"    ;"DL50"      ;">4000"          ;"mg/kg" ;"rat"     ;""
"94-74-6"                                            ;"MCPA"                                   ;"Toxicite aigue inhalation" ;"CL50"      ;">6.36"          ;"mg/L"  ;"rat"     ;""
"94-74-6"                                            ;"MCPA"                                   ;"Toxicite aigue VO"         ;"DL50"      ;"962"            ;"mg/kg" ;"rat"     ;"F"
"94-81-5"                                            ;"MCPB"                                   ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"94-81-5"                                            ;"MCPB"                                   ;"Toxicite aigue inhalation" ;"CL50"      ;">1.14"          ;"mg/L"  ;"rat"     ;""
"94-81-5"                                            ;"MCPB"                                   ;"Toxicite aigue VO"         ;"DL50"      ;"4300 - 5300"    ;"mg/kg" ;"rat"     ;"M"
"16484-77-8"                                         ;"mecoprop-P"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">4000"          ;"mg/kg" ;"rat"     ;"MF"
"16484-77-8"                                         ;"mecoprop-P"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">5.6"           ;"mg/L"  ;"rat"     ;""
"16484-77-8"                                         ;"mecoprop-P"                             ;"Toxicite aigue VO"         ;"DL50"      ;"431 - 1050"     ;"mg/kg" ;"rat"     ;""
"135590-91-9"                                        ;"mefenpyr diethyl"                       ;"Toxicite aigue cutanee"    ;"DL50"      ;">4000"          ;"mg/kg" ;"rat"     ;"MF"
"135590-91-9"                                        ;"mefenpyr diethyl"                       ;"Toxicite aigue inhalation" ;"CL50"      ;">1.32"          ;"mg/L"  ;"rat"     ;"MF"
"135590-91-9"                                        ;"mefenpyr diethyl"                       ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"135590-91-9"                                        ;"mefenpyr diethyl"                       ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"souris"  ;"MF"
"1417782-03-6"                                       ;"mefentrifluconazole"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"1417782-03-6"                                       ;"mefentrifluconazole"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5,"           ;"mg/L"  ;"rat"     ;"MF"
"1417782-03-6"                                       ;"mefentrifluconazole"                    ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"F"
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5" ;"Melange de terpenoedes QRD 460"         ;"Toxicite aigue cutanee"    ;"DL50"      ;">5050"          ;"mg/kg" ;"rat"     ;"MF"
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5" ;"Melange de terpenoedes QRD 460"         ;"Toxicite aigue inhalation" ;"CL50"      ;">5,30"          ;"mg/L"  ;"rat"     ;"MF"
"a-terpi: 99-86-5; p-cym: 99-87-6; d-limo:5986-27-5" ;"Melange de terpenoedes QRD 460"         ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"F"
"110235-47-7"                                        ;"mepanipyrim"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"110235-47-7"                                        ;"mepanipyrim"                            ;"Toxicite aigue inhalation" ;"CL50"      ;">0.59"          ;"mg/L"  ;"rat"     ;"MF"
"110235-47-7"                                        ;"mepanipyrim"                            ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"24307-26-4"                                         ;"mepiquat-chlorure"                      ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"24307-26-4"                                         ;"mepiquat-chlorure"                      ;"Toxicite aigue inhalation" ;"CL50"      ;">4,89"          ;"mg/L"  ;"rat"     ;"MF"
"24307-26-4"                                         ;"mepiquat-chlorure"                      ;"Toxicite aigue VO"         ;"DL50"      ;"1780"           ;"mg/kg" ;"lapin"   ;""
"24307-26-4"                                         ;"mepiquat-chlorure"                      ;"Toxicite aigue VO"         ;"DL50"      ;"464"            ;"mg/kg" ;"rat"     ;"MF"
"6119-92-2"                                          ;"meptyldinocap"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"6119-92-2"                                          ;"meptyldinocap"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"1,63"           ;"mg/L"  ;"rat"     ;"F"
"6119-92-2"                                          ;"meptyldinocap"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"1,24"           ;"mg/L"  ;"rat"     ;"M"
"6119-92-2"                                          ;"meptyldinocap"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"F"
"208465-21-8"                                        ;"mesosulfuron methyl"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"208465-21-8"                                        ;"mesosulfuron methyl"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"> 1.33"         ;"mg/L"  ;"rat"     ;"MF"
"208465-21-8"                                        ;"mesosulfuron methyl"                    ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"104206-82-8"                                        ;"mesotrione"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"104206-82-8"                                        ;"mesotrione"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,75"         ;"mg/L"  ;"rat"     ;"MF"
"104206-82-8"                                        ;"mesotrione"                             ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"70630-17-0"                                         ;"metalaxyl-M"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"70630-17-0"                                         ;"metalaxyl-M"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"> 2.29"         ;"mg/L"  ;"rat"     ;"MF"
"70630-17-0"                                         ;"metalaxyl-M"                            ;"Toxicite aigue VO"         ;"DL50"      ;"375"            ;"mg/kg" ;"rat"     ;"F"
"70630-17-0"                                         ;"metalaxyl-M"                            ;"Toxicite aigue VO"         ;"DL50"      ;"953"            ;"mg/kg" ;"rat"     ;"M"
"108-62-3 (tetramer)"                                ;"metaldehyde"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"108-62-3 (tetramer)"                                ;"metaldehyde"                            ;"Toxicite aigue inhalation" ;"CL50"      ;""               ;"mg/L"  ;"rat"     ;"MF"
"108-62-3 (tetramer)"                                ;"metaldehyde"                            ;"Toxicite aigue VO"         ;"DL50"      ;"654"            ;"mg/kg" ;"rat"     ;"F"
"108-62-3 (tetramer)"                                ;"metaldehyde"                            ;"Toxicite aigue VO"         ;"DL50"      ;"283"            ;"mg/kg" ;"rat"     ;"MF"
"108-62-3 (tetramer)"                                ;"metaldehyde"                            ;"Toxicite aigue VO"         ;"DL50"      ;"443"            ;"mg/kg" ;"souris"  ;"F"
"108-62-3 (tetramer)"                                ;"metaldehyde"                            ;"Toxicite aigue VO"         ;"DL50"      ;"411"            ;"mg/kg" ;"souris"  ;"M"
"41394-05-2"                                         ;"metamitrone"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"41394-05-2"                                         ;"metamitrone"                            ;"Toxicite aigue inhalation" ;"CL50"      ;">5"             ;"mg/L"  ;"rat"     ;"M"
"41394-05-2"                                         ;"metamitrone"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"3.17"           ;"mg/L"  ;"rat"     ;"F"
"41394-05-2"                                         ;"metamitrone"                            ;"Toxicite aigue VO"         ;"DL50"      ;"1183"           ;"mg/kg" ;"rat"     ;"M"
"67129-08-2"                                         ;"metazachlore"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;">6800"          ;"mg/kg" ;"rat"     ;"MF"
"67129-08-2"                                         ;"metazachlore"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"67129-08-2"                                         ;"metazachlore"                           ;"Toxicite aigue inhalation" ;"CL50"      ;">34.5"          ;"mg/L"  ;"rat"     ;"MF"
"67129-08-2"                                         ;"metazachlore"                           ;"Toxicite aigue VO"         ;"DL50"      ;"2010"           ;"mg/kg" ;"souris"  ;"MF"
"67129-08-2"                                         ;"metazachlore"                           ;"Toxicite aigue VO"         ;"DL50"      ;"2140"           ;"mg/kg" ;"rat"     ;"F"
"67129-08-2"                                         ;"metazachlore"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"67129-08-2"                                         ;"metazachlore"                           ;"Toxicite aigue VO"         ;"DL50"      ;"2160"           ;"mg/kg" ;"rat"     ;"M"
"125116-23-6 (unstated stereochemistry)"             ;"metconazole"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;""
"125116-23-6 (unstated stereochemistry)"             ;"metconazole"                            ;"Toxicite aigue inhalation" ;"CL50"      ;">5.6"           ;"mg/L"  ;"rat"     ;""
"125116-23-6 (unstated stereochemistry)"             ;"metconazole"                            ;"Toxicite aigue VO"         ;"DL50"      ;"595"            ;"mg/kg" ;"rat"     ;"F"
"125116-23-6 (unstated stereochemistry)"             ;"metconazole"                            ;"Toxicite aigue VO"         ;"DL50"      ;"410"            ;"mg/kg" ;"souris"  ;"F"
"161050-58-4"                                        ;"methoxyfenozide"                        ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"161050-58-4"                                        ;"methoxyfenozide"                        ;"Toxicite aigue inhalation" ;"CL50"      ;">4.3"           ;"mg/L"  ;"rat"     ;""
"161050-58-4"                                        ;"methoxyfenozide"                        ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"9006-42-2"                                          ;"metiram-zinc"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"9006-42-2"                                          ;"metiram-zinc"                           ;"Toxicite aigue inhalation" ;"CL50"      ;">5.7"           ;"mg/L"  ;"rat"     ;""
"9006-42-2"                                          ;"metiram-zinc"                           ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"3060-89-7"                                          ;"metobromuron"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;">3000"          ;"mg/kg" ;"rat"     ;"MF"
